Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2019-01-11,Frozen chopped spinach,India,Innovative Cuisine,Chlorpyrifos,0.03,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-05-16,Frozen cooked vannamei prawn meat,China,Zhejiang Ocean Family Co Ltd,Standard plate count,"240 000, 360 000, 270 000, 240 000, 630 000",cfu/g,CRU 03/2019,Risk,,
2019-05-31,Pilchards in hot chilli sauce,South Africa,Lucky Star,Composition,Irradiated cayenne pepper,Not a permitted treatment for this food,,Surveillance,,
2019-06-03,Dried seedless red dates,China,Zhongshan Best Honest Trading Co Ltd,Fruit and vegetable residue screen,Propargite,0.07,mg/kg,Surveillance,,
2019-06-04,Frozen dried longan,Thailand,Tanaya International Co Ltd,Fruit and vegetable residue screen,Carbendazim,0.053,mg/kg,Surveillance,,
2019-06-05,Mung chilka split,Myanmar,Ays Mfg Co Ltd,Fruit and vegetable residue screen,Chlorpyrifos,0.19,mg/kg,Surveillance,,
2019-06-05,Mung dhal,Myanmar,Ays Mfg Co Ltd,Fruit and vegetable residue screen,Chlorpyrifos,0.03,mg/kg,Surveillance,,
2019-06-05,Kashmiri chilli powder,India,Anna Aluminium Co Pvt Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-06-06,Cassava chips,India,Economic Food Solutions Pvt Ltd,Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2019-06-06,Confectionery ,France,Geprocor,Composition,Patented blue v (E131),Not permitted in this food,,Surveillance,,
2019-06-07,Frozen seasoned flying fish roe,Japan,Daiei Foods Co Ltd (Japan),Composition,Additive E127 (erythrosine),Not permitted in this food,,Surveillance,,
2019-06-11,Fresh lychee,China,Zhangzhou Xinmingxing Trading Co Ltd,Fruit and vegetable residue screen,"Azoxystrobin 
Chlorphrifos 
Cypermethrin Difenoconazole Dimethomorph
Indoxacarb","1.2
0.33
0.43
0.84
0.73
 0.07",mg/kg,Surveillance,,
2019-06-11,Fresh lychee,China,Zhangzhou Xinmingxing Trading Co Ltd,Fruit and vegetable residue screen,Azoxystrobin Difenoconazole Dimethomorph  Indoxacarb,"0.55
0.73
0.96
0.12",mg/kg,Surveillance,,
2019-06-11,Frozen cooked prawns,Vietnam,Camau Seafood Processing & Service Jointstock Corp,Standard plate count,"700 000, 10 000, 6 000, 110 000, 140 000",cfu/g,CRU 03/2019,Risk,,
2019-06-12,Tea biscuits,Serbia,Koncern Bambi A.D,Composition,"Vitamin C, Phosphorus",Not permitted in this food,,Surveillance,,
2019-06-12,Indian flat beans,India,Innovative Cuisine,Fruit and vegetable residue screen,Carbendazim,0.05,mg/kg,Surveillance,,
2019-06-13,Chocolate halawa,Saudi Arabia,Qoot Food,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2019-06-13,Green chilli,Vietnam,Thai Thuan Binh Co.Ltd,Fruit and vegetable residue screen,Chlorpyrifos Difenoconazole Propiconazole Tebuconazole  ,"0.2
0.23
0.16 
0.1",mg/kg,Surveillance,,
2019-06-13,Red chilli,Vietnam,Thai Thuan Binh Co.Ltd,Fruit and vegetable residue screen,"Chlorpyrifos
Difenoconazole Propiconazole  Tebuconazole 
Metalaxyl  ","0.1 
0.22 
0.17 
0.15 
0.14",mg/kg,Surveillance,,
2019-06-13,Dried fish keeramin,Sri Lanka,D&R Exports Pvt Ltd,Histamine,700,mg/kg,HIS 12/2016,Risk,,
2019-06-14,Marinara mix,Malaysia,Labuan Food Industries Sdn Bhd,Salmonella,Detected,/125g,MSM 11/2018,Risk,,
2019-06-17,Kelp sheets,China,"Fuzhou Hailin Foods Co., Ltd",Iodine,4 600,mg/kg,BSW 12/2016,Risk,,
2019-06-17,Masala curry powder,South Africa,Packo (Verulam South Africa),Composition,"Irradiated chilli, 
Irradiated mustard",Not a permitted treatment for this food,,Surveillance,,
2019-06-17,Frozen cooked vannamei prawns,Vietnam,Thalassa Seafoods (Vietnam),Standard plate count,"100 000, 110 000, 120 000, 340 000, 8 200",cfu/g,CRU 03/2019,Risk,,
2019-06-17,Kelp knots,China,"Fuzhou Hailin Foods Co., Ltd",Iodine,3 400,mg/kg,BSW 12/2016,Risk,,
2019-06-19,Fresh chilli,India,Vadilal Industries Limited,Fruit and vegetable residue screen,Tebuconazole,0.07,mg/kg,Surveillance,,
2019-06-24,Tapioca chips,India,Kozhikodens,Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2019-06-24,Nut crackers spicy coated fried peanuts,India,Haldiram Snacks Pvt Ltd,Aflatoxin,0.023,mg/kg,NUT 11/208,Risk,,
2019-06-25,Kashmiri chilli powder,India,Patidar Exports Pvt Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-06-25,Frozen cowpeas,Fiji,Labasa Farm Fresh,Fruit and vegetable residue screen,"Acephate
Methamidophos","0.31
0.1",mg/kg,Surveillance,,
2019-06-25,Kashmiri chilli powder,India,Patidar Exports Pvt Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-06-26,Wheaten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Composition,Vitamin C ,Not permitted in this food,,Surveillance,,
2019-06-27,Tahini halawah,Syria,Al Asala Foodstuff Co,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2019-06-27,Tahini halawah,Syria,Al Asala Foodstuff Co,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2019-06-28,Cut hyacinth beans,India,Vadilal Industries Limited,Fruit and vegetable residue screen,Profenofos,0.09,mg/kg,Surveillance,,
2019-07-01,Dried longan,China,Zhongshan Yuncheng Trading Co. Ltd.,Carbendazim,0.06,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-02,Dried fish tuyo in olive oil,Philippines,Zaragoza Foods Corp,Histamine,370,mg/kg,HIS 12/2016,Risk,,
2019-07-02,Indian flat beans,India,Innovative Cuisine,"Cypermethrin
Profenofos","0.58
0.1",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-03,Tapioca chips,India,Gowri Exports & Imports,Hydrocyanic acid,12,mg/kg,CAS 09/2016,Risk,,
2019-07-03,Tea biscuits,Serbia,Koncern Bambi A.D,"Vitamin A, Phosphorus",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-04,Chips,Philippines,Leslie Corporation,"Vitamins A, B1, B2, B3, B5, B6, B12 and Folic Acid",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-04,Pasteurised cooked crab meat,Vietnam,Phillips Seafood (Vietnam) Co Ltd,Standard plate count,"<100, 3 500, <100, 
1 600 000, ~100
",cfu/g,CRU 03/2019,Risk,,
2019-07-04,Pata de mulo cheese,Spain,Fco Javier Barrera Alvarez Lacteos Siete Lobas Crta Ardon,Listeria monocytogenes,"<100, <100, 100, 300, 500",cfu/g,CHE 07/2018,Risk,,
2019-07-05,Ground dried fish,Taiwan,Kuang Ta Hsiang Foodstuffs Co Ltd (Taiwan),Histamine,290,mg/kg,HIS 12/2016,Risk,,
2019-07-08,Fresh lychees,China,Zhangzhou Xinmingxing Trading Co Ltd,"Azoxystrobin
Cyhalothrin
Difenoconazole
Thiabendazole    ","0.16
0.06
0.088
2.2",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-08,Mangosteens,Thailand,Ptn Exotic Produce Co Ltd,Chlorpyrifos,0.3,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-08,Cassava chips,Indonesia,"Arira Pangindo (Bogor, Indonesia)",Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2019-07-08,Wheat flour,India,Itc Limited,Arsenic,37,mg/kg,FSC 1.4.1,Surveillance,Arsenic,
2019-07-08,Fresh lychees,China,Zhangzhou Xinmingxing Trading Co Ltd,"Azoxystrobin
Cyhalothrin
Difenoconazole
Thiabendazole    ","0.22
0.07
0.095
1.9",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-09,Split mung beans,Myanmar,Ays Mfg Co Ltd,"Cypermethrin
Chlorpyrifos","0.06
0.33",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-09,Tapioca chips,India,Economic Food Soutions Pvt Ltd,Hydrocyanic acid,20,mg/kg,CAS 09/2016,Risk,,
2019-07-09,Roasted peanuts,China,Qingdao Zest Foods Co Ltd,Aflatoxin,0.044,mg/kg,NUT 11/208,Risk,,
2019-07-09,High gluten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,Not permitted in this food,,FSC 1.3.1,Surveillance,Composition,
2019-07-09,Spiced fried peanuts,India,Haldriram Bhujiawalal Pty Ltd (India),Aflatoxin,0.076,mg/kg,NUT 11/208,Risk,,
2019-07-10,Formulated supplementary food,India,Patanjali Ayurved Limited,"Mineral copper, Vitamin B7 ",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-11,Smoked catfish pieces ,Thailand,Speed General Trading Co Ltd,Enrofloxacin,0.0031,mg/kg,FSC 1.4.2,Surveillance,Seafood antimicrobial tests,
2019-07-16,Ground biscuits,Serbia,Koncern Bambi A.D,"Vitamin C, Phosphorus",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-16,Pilchards in hot chilli sauce,Namibia,United Fishing Enterprises (Pty) Ltd,Irradiated cayenne pepper,Not a permitted treatment for this food,,FSC 1.5.3,Surveillance,Composition,
2019-07-16,Bitter gourd,India,Finns Frozen Foods (India) Limited,Dimethoate,0.026,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-16,Indian beans (val papdi),India,Finns Frozen Foods (India) Limited,Cypermethrin,0.21,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-16,Hot mixed vegetable pickle,South Africa,Packo (Verulam South Africa),"Irradiated chilli, irradiated mustard, irradiated tumeric",Not a permitted treatment for this food,,FSC 1.5.3,Surveillance,Composition,
2019-07-18,Crushed chilli,Turkey,Narin Bys Dis Ticaret,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-07-18,Dried tsaoko fruit,China,Success Day Hong,Phenylphenol,0.16,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-18,Lou han guo (monk fruit),China,Success Day Hong,"Cyhalothrin
Procymidone","0.14
0.03",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-23,Biscuits,Serbia,Koncern Bambi A.D,"Vitamin C, Phosphorus",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-24,Maize meal (Braaipap),South Africa,Indian Ocean Export Company,"Vitamin A, Vitamin B5, Vitamin B12 ",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-25,Dried longan,China,"Jiangmen Junying Food Co., Ltd",Tebuconazole,0.06,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-25,Black sesame crisps,China,Huanglaowu Food Co Ltd,Aflatoxin,0.028,mg/kg,NUT 11/208,Risk,,
2019-07-25,Tapioca chips,India,Kozhikodens,Hydrocyanic acid,18,mg/kg,CAS 09/2016,Risk,,
2019-07-25,Gialloblu erborinato cheese,Italy,Mantegazza Formaggi,Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-07-26,Frozen cut okra,India,Aerath Business Corporation,Acephate,0.087,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-26,Frozen dried longan,Thailand,Tanaya International Co Ltd,Carbendazim,0.073,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-27,Frozen scallops,Japan,Jyojirushi Douwasyokuhin Co Ltd,Listeria monocytogenes,"ND, ND, ND, ND, Detected",/125g,MOL 04/2017,Risk,,
2019-07-29,Frozen dried longan,Thailand,Tanaya International Co Ltd,Carbendazim,0.073,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,
2019-07-29,Frozen raw whole white clam shells,Vietnam,Ngoc Ha Co Ltd Food Processing And Trading,E. coli,"<2.3, <2.3, 15, <2.3, <2.3",MPN/g,MOL 04/2017,Risk,,
2019-07-30,Pickled apricot katsuome,Japan,Yoneya (Japan),Vitamin B1,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-30,Fried peanuts,China,"Henan Kaixinren Food Co.,Ltd",Aflatoxin,0.086,mg/kg,NUT 11/208,Risk,,
2019-07-30,Pickled apricot shiso ume,Japan,Yoneya (Japan),Vitamin B1,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-30,Pickled apricot hachimitsu ume,Japan,Yoneya (Japan),Vitamin B1,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,
2019-07-30,Pistachio nut kernel pieces,China,Chk Trading Co Ltd,Aflatoxin,0.1,mg/kg,NUT 11/208,Risk,,
2019-08-01,Frozen cooked whole craw fish,China,"Zhejiang Tianhe Aquatic Products Inc., Ltd",Standard plate count,"630 000, 600 000, 4 000 000, 300 000, 28 000 000",cfu/g,"CRU 03/2019

",Risk,,
2019-08-05,Chilli powder,India,Kottackal Agro Foods,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
