Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2019-01-11,frozen chopped spinach,india,innovative cuisine,chlorpyrifos,0.03,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-05-16,frozen cooked vannamei prawn meat,china,zhejiang ocean family,standard plate count,"240 000, 360 000, 270 000, 240 000, 630 000",cfu/g,cru 032019,risk,nan,
2019-05-31,pilchards in hot chilli sauce,south africa,lucky star,composition,Irradiated cayenne pepper,Not a permitted treatment for this food,nan,surveillance,nan,
2019-06-03,dried seedless red dates,china,zhongshan best honest trading,fruit and vegetable residue screen,Propargite,0.07,mgkg,surveillance,nan,
2019-06-04,frozen dried longan,thailand,tanaya international,fruit and vegetable residue screen,Carbendazim,0.053,mgkg,surveillance,nan,
2019-06-05,mung chilka split,myanmar,ays mfg,fruit and vegetable residue screen,Chlorpyrifos,0.19,mgkg,surveillance,nan,
2019-06-05,mung dhal,myanmar,ays mfg,fruit and vegetable residue screen,Chlorpyrifos,0.03,mgkg,surveillance,nan,
2019-06-05,kashmiri chilli powder,india,anna aluminium,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-06-06,cassava chips,india,economic food solutions,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2019-06-06,confectionery,france,geprocor,composition,Patented blue v (E131),Not permitted in this food,nan,surveillance,nan,
2019-06-07,frozen seasoned flying fish roe,japan,daiei foods   japan,composition,Additive E127 (erythrosine),Not permitted in this food,nan,surveillance,nan,
2019-06-11,fresh lychee,china,zhangzhou xinmingxing trading,fruit and vegetable residue screen,"Azoxystrobin 
Chlorphrifos 
Cypermethrin Difenoconazole Dimethomorph
Indoxacarb","1.2
0.33
0.43
0.84
0.73
 0.07",mgkg,surveillance,nan,
2019-06-11,fresh lychee,china,zhangzhou xinmingxing trading,fruit and vegetable residue screen,Azoxystrobin Difenoconazole Dimethomorph  Indoxacarb,"0.55
0.73
0.96
0.12",mgkg,surveillance,nan,
2019-06-11,frozen cooked prawns,vietnam,camau seafood processing service jointstock corp,standard plate count,"700 000, 10 000, 6 000, 110 000, 140 000",cfu/g,cru 032019,risk,nan,
2019-06-12,tea biscuits,serbia,koncern bambi ad,composition,"Vitamin C, Phosphorus",Not permitted in this food,nan,surveillance,nan,
2019-06-12,indian flat beans,india,innovative cuisine,fruit and vegetable residue screen,Carbendazim,0.05,mgkg,surveillance,nan,
2019-06-13,chocolate halawa,saudi arabia,qoot food,salmonella,Detected,/125g,ses 052014,risk,nan,
2019-06-13,green chilli,vietnam,thai thuan binh coltd,fruit and vegetable residue screen,Chlorpyrifos Difenoconazole Propiconazole Tebuconazole  ,"0.2
0.23
0.16 
0.1",mgkg,surveillance,nan,
2019-06-13,red chilli,vietnam,thai thuan binh coltd,fruit and vegetable residue screen,"Chlorpyrifos
Difenoconazole Propiconazole  Tebuconazole 
Metalaxyl  ","0.1 
0.22 
0.17 
0.15 
0.14",mgkg,surveillance,nan,
2019-06-13,dried fish keeramin,sri lanka,dr exports,histamine,700,mg/kg,his 122016,risk,nan,
2019-06-14,marinara mix,malaysia,labuan food industries,salmonella,Detected,/125g,msm 112018,risk,nan,
2019-06-17,kelp sheets,china,fuzhou hailin foods,iodine,4 600,mg/kg,bsw 122016,risk,nan,
2019-06-17,masala curry powder,south africa,packo verulam south africa,composition,"Irradiated chilli, 
Irradiated mustard",Not a permitted treatment for this food,nan,surveillance,nan,
2019-06-17,frozen cooked vannamei prawns,vietnam,thalassa seafoods vietnam,standard plate count,"100 000, 110 000, 120 000, 340 000, 8 200",cfu/g,cru 032019,risk,nan,
2019-06-17,kelp knots,china,fuzhou hailin foods,iodine,3 400,mg/kg,bsw 122016,risk,nan,
2019-06-19,fresh chilli,india,vadilal industries,fruit and vegetable residue screen,Tebuconazole,0.07,mgkg,surveillance,nan,
2019-06-24,tapioca chips,india,kozhikodens,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2019-06-24,nut crackers spicy coated fried peanuts,india,haldiram snacks,aflatoxin,0.023,mg/kg,nut 11208,risk,nan,
2019-06-25,kashmiri chilli powder,india,patidar exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-06-25,frozen cowpeas,fiji,labasa farm fresh,fruit and vegetable residue screen,"Acephate
Methamidophos","0.31
0.1",mgkg,surveillance,nan,
2019-06-25,kashmiri chilli powder,india,patidar exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-06-26,wheaten flour,taiwan,yifeng food,composition,Vitamin C ,Not permitted in this food,nan,surveillance,nan,
2019-06-27,tahini halawah,syria,al asala foodstuff,salmonella,Detected,/125g,ses 052014,risk,nan,
2019-06-27,tahini halawah,syria,al asala foodstuff,salmonella,Detected,/125g,ses 052014,risk,nan,
